Unit (n),ETH Input (Cumulative),Issued Tokens,Cumulative Supply,Buy Price (ETH),Spread,Sell Price (ETH),Weight
173,17300,56277.45029598656,20736890.33489195,1.776911e-03,0.8724960254372,2.265632e-04,6.109262473691412
174,17400,56098.047299467915,20792988.382191416,1.782593e-03,0.8723370429252763,2.275711e-04,6.124414789852077
175,17500,55920.26268833875,20848908.644879755,1.788261e-03,0.8721780604133526,2.285789e-04,6.139511775613846
176,17600,55744.072682808765,20904652.717562564,1.793913e-03,0.8720190779014289,2.295866e-04,6.154553940008133
177,17700,55569.45398558655,20960222.17154815,1.799550e-03,0.8718600953895052,2.305941e-04,6.169541784522928
178,17800,55396.38376942168,21015618.555317573,1.805172e-03,0.8717011128775815,2.316016e-04,6.184475803256633
179,17900,55224.83966503679,21070843.39498261,1.810779e-03,0.8715421303656578,2.326089e-04,6.199356483067899
180,18000,55054.79974943486,21125898.194732044,1.816372e-03,0.871383147853734,2.336161e-04,6.214184303721624
181,18100,54886.242534568344,21180784.43726661,1.821950e-03,0.8712241653418104,2.346232e-04,6.228959738031192
182,18200,54719.14695635698,21235503.58422297,1.827514e-03,0.8710651828298867,2.356302e-04,6.243683251997095
183,18300,54553.49236404136,21290057.07658701,1.833063e-03,0.870906200317963,2.366371e-04,6.258355304942048
184,18400,54389.25850986085,21344446.33509687,1.838598e-03,0.8707472178060393,2.376439e-04,6.2729763496426845
185,18500,54226.42553904355,21398672.760635912,1.844119e-03,0.8705882352941156,2.386507e-04,6.28754683245797
186,18600,54064.973980097835,21452737.73461601,1.849626e-03,0.8704292527821919,2.396575e-04,6.302067193454399
187,18700,53904.884735394495,21506642.619351406,1.855119e-03,0.8702702702702682,2.406641e-04,6.3165378665281
188,18800,53746.13907202922,21560388.758423436,1.860599e-03,0.8701112877583445,2.416708e-04,6.330959279523919
189,18900,53588.718612955934,21613977.477036394,1.866064e-03,0.8699523052464208,2.426774e-04,6.345331854351593
190,19000,53432.605328381425,21667410.082364775,1.871516e-03,0.869793322734497,2.436839e-04,6.359656007099075
191,19100,53277.78152741193,21720687.863892186,1.876955e-03,0.8696343402225734,2.446905e-04,6.373932148143127
192,19200,53124.229849943564,21773812.09374213,1.882380e-03,0.8694753577106497,2.456970e-04,6.388160682257232
193,19300,52971.933258787925,21826784.027000915,1.887792e-03,0.869316375198726,2.467035e-04,6.402342008716909
194,19400,52820.875032024844,21879604.90203294,1.893191e-03,0.8691573926868023,2.477100e-04,6.416476521402527
195,19500,52671.03875557468,21932275.940788515,1.898577e-03,0.8689984101748786,2.487165e-04,6.430564608899665
196,19600,52522.40831598292,21984798.349104498,1.903949e-03,0.8688394276629549,2.497231e-04,6.444606654597098
197,19700,52374.96789340948,22037173.316997908,1.909309e-03,0.8686804451510312,2.507296e-04,6.4586030367824865
198,19800,52228.7019548166,22089402.018952724,1.914656e-03,0.8685214626391075,2.517362e-04,6.472554128735823
199,19900,52083.59524734807,22141485.61420007,1.919990e-03,0.8683624801271838,2.527428e-04,6.48646029882069
200,20000,51939.63279189381,22193425.246991966,1.925312e-03,0.8682034976152601,2.537494e-04,6.500321910573433
201,20100,51796.799876833815,22245222.0468688,1.930621e-03,0.8680445151033364,2.547561e-04,6.514139322790242
202,20200,51655.082051955236,22296877.128920756,1.935918e-03,0.8678855325914127,2.557628e-04,6.527912889612262
203,20300,51514.46512253732,22348391.594043292,1.941202e-03,0.867726550079489,2.567695e-04,6.541642960608752
204,20400,51374.93514359867,22399766.52918689,1.946474e-03,0.8675675675675653,2.577763e-04,6.555329880858354
205,20500,51236.47841430137,22451003.00760119,1.951734e-03,0.8674085850556416,2.587832e-04,6.5689739910285265
206,20600,51099.081472507394,22502102.0890737,1.956982e-03,0.8672496025437179,2.597902e-04,6.582575627453195
207,20700,50962.73108948209,22553064.820163183,1.962218e-03,0.8670906200317942,2.607972e-04,6.596135122208659
208,20800,50827.41426474014,22603892.23442792,1.967442e-03,0.8669316375198705,2.618043e-04,6.60965280318781
209,20900,50693.118221029545,22654585.35264895,1.972654e-03,0.8667726550079468,2.628115e-04,6.623128994172711
210,21000,50559.830399449456,22705145.1830484,1.977855e-03,0.8666136724960231,2.638188e-04,6.636564014905565
211,21100,50427.53845469719,22755572.721503098,1.983043e-03,0.8664546899840994,2.648262e-04,6.649958181158132
212,21200,50296.23025044102,22805868.951753538,1.988221e-03,0.8662957074721757,2.658336e-04,6.66331180479963
213,21300,50165.89385481436,22856034.845608354,1.993386e-03,0.866136724960252,2.668412e-04,6.676625193863153
214,21400,50036.51753602782,22906071.363144383,1.998540e-03,0.8659777424483283,2.678489e-04,6.689898652610659
215,21500,49908.08975809549,22955979.452902477,2.003683e-03,0.8658187599364046,2.688567e-04,6.703132481596558
216,21600,49780.59917667197,23005760.05207915,2.008815e-03,0.8656597774244809,2.698646e-04,6.716326977729925
217,21700,49654.03463499666,23055414.086714145,2.013935e-03,0.8655007949125572,2.708727e-04,6.729482434335399
218,21800,49528.38515994226,23104942.471874088,2.019044e-03,0.8653418124006335,2.718808e-04,6.742599141212787
219,21900,49403.63995816422,23154346.111832254,2.024142e-03,0.8651828298887098,2.728891e-04,6.755677384695396
220,22000,49279.788412348025,23203625.9002446,2.029229e-03,0.8650238473767861,2.738976e-04,6.768717447707151
221,22100,49156.82007755167,23252782.720322154,2.034306e-03,0.8648648648648624,2.749062e-04,6.781719609818507
222,22200,49034.724677640144,23301817.444999795,2.039371e-03,0.8647058823529387,2.759149e-04,6.794684147301201
223,22300,48913.49210180955,23350730.937101606,2.044426e-03,0.864546899841015,2.769238e-04,6.80761133318186
224,22400,48793.11240119785,23399524.049502805,2.049470e-03,0.8643879173290913,2.779328e-04,6.820501437294511
225,22500,48673.575785580215,23448197.625288386,2.054503e-03,0.8642289348171676,2.789420e-04,6.833354726331996
226,22600,48554.87262014571,23496752.497908533,2.059526e-03,0.8640699523052439,2.799514e-04,6.846171463896355
227,22700,48436.99342235393,23545189.491330888,2.064538e-03,0.8639109697933202,2.809609e-04,6.858951910548155
228,22800,48319.928858868436,23593509.420189757,2.069539e-03,0.8637519872813965,2.819706e-04,6.871696323854842
229,22900,48203.66974256526,23641713.089932323,2.074531e-03,0.8635930047694728,2.829805e-04,6.884404958438097
230,23000,48088.20702961411,23689801.296961937,2.079512e-03,0.8634340222575491,2.839906e-04,6.897078066020252
231,23100,47973.53181663036,23737774.82877857,2.084483e-03,0.8632750397456254,2.850008e-04,6.909715895469766
232,23200,47859.63533789564,23785634.464116465,2.089443e-03,0.8631160572337017,2.860113e-04,6.9223186928458
233,23300,47746.508962645115,23833380.97307911,2.094394e-03,0.862957074721778,2.870219e-04,6.934886701441908
234,23400,47634.144192419815,23881015.11727153,2.099334e-03,0.8627980922098543,2.880327e-04,6.947420161828848
235,23500,47522.53265848178,23928537.64993001,2.104265e-03,0.8626391096979306,2.890437e-04,6.959919311896579
236,23600,47411.66611929064,23975949.316049304,2.109186e-03,0.8624801271860069,2.900549e-04,6.972384386895402
237,23700,47301.53645803963,24023250.85250734,2.114096e-03,0.8623211446740832,2.910663e-04,6.984815619476319
238,23800,47192.13568024964,24070442.988187592,2.118997e-03,0.8621621621621595,2.920780e-04,6.997213239730604
239,23900,47083.45591141947,24117526.444099013,2.123888e-03,0.8620031796502358,2.930898e-04,7.009577475228598
240,24000,46975.489394731005,24164501.933493745,2.128770e-03,0.8618441971383121,2.941019e-04,7.0219085510577655
241,24100,46868.228488807465,24211370.16198255,2.133642e-03,0.8616852146263884,2.951142e-04,7.034206689860017
242,24200,46761.66566552362,24258131.827648073,2.138504e-03,0.8615262321144647,2.961267e-04,7.046472111868318
243,24300,46655.79350786634,24304787.62115594,2.143357e-03,0.861367249602541,2.971394e-04,7.0587050349426
244,24400,46550.60470784431,24351338.225863785,2.148200e-03,0.8612082670906173,2.981524e-04,7.07090567460499
245,24500,46446.092064445234,24397784.31792823,2.153034e-03,0.8610492845786936,2.991656e-04,7.0830742440743775
246,24600,46342.248481639755,24444126.566409867,2.157858e-03,0.8608903020667699,3.001790e-04,7.095210954300328
247,24700,46239.06696643041,24490365.633376297,2.162673e-03,0.8607313195548462,3.011927e-04,7.107316013996363
248,24800,46136.54062694467,24536502.17400324,2.167479e-03,0.8605723370429225,3.022066e-04,7.119389629672618
249,24900,46034.66267057072,24582536.83667381,2.172276e-03,0.8604133545309988,3.032207e-04,7.131432005667894
250,25000,45933.426402135105,24628470.263075948,2.177064e-03,0.8602543720190751,3.042351e-04,7.143443344181118
251,25100,45832.825222120824,24674303.088298067,2.181842e-03,0.8600953895071514,3.052498e-04,7.155423845302217
252,25200,45732.85262492516,24720035.940922994,2.186612e-03,0.8599364069952277,3.062647e-04,7.167373707042433
